id,ref,hyp,hyp_pp,wer,cer
1272-128104-0013,MISTER QUILTER HAS MISSED HIS CHANCE FOR HE HAS FAILED EVEN TO MAKE HIMSELF THE TUPPER OF PAINTING,"Mr. Quilter has missed his chance, for he has failed even to make himself the tupper of painting.",mr quilter has missed his chance for he has failed even to make himself the tupper of painting ,1.0,0.826530612244898
1272-128104-0014,BY HARRY QUILTER M A,by Harry Quilter M.A.,by harry quilter m a ,1.0,0.8
1272-135031-0000,BECAUSE YOU WERE SLEEPING INSTEAD OF CONQUERING THE LOVELY ROSE PRINCESS HAS BECOME A FIDDLE WITHOUT A BOW WHILE POOR SHAGGY SITS THERE A COOING DOVE,"Because you are sleeping instead of conquering, the lovely rose princess has become a fiddle without a bow, while poor shaggy sits there a cooing dove.",because you are sleeping instead of conquering the lovely rose princess has become a fiddle without a bow while poor shaggy sits there a cooing dove ,1.0,0.8322147651006712
1272-135031-0001,HE HAS GONE AND GONE FOR GOOD ANSWERED POLYCHROME WHO HAD MANAGED TO SQUEEZE INTO THE ROOM BESIDE THE DRAGON AND HAD WITNESSED THE OCCURRENCES WITH MUCH INTEREST,he has gone and gone for good answered polychrome who had managed to squeeze into the room beside the dragon and had witnessed the occurrences with much interest,he has gone and gone for good answered polychrome who had managed to squeeze into the room beside the dragon and had witnessed the occurrences with much interest,1.0,0.8322981366459627
1272-135031-0002,I HAVE REMAINED A PRISONER ONLY BECAUSE I WISHED TO BE ONE AND WITH THIS HE STEPPED FORWARD AND BURST THE STOUT CHAINS AS EASILY AS IF THEY HAD BEEN THREADS,i have remained a prisoner only because i wished to be one and with this he stepped forward and burst the stout chains as easily as if they had been threads,i have remained a prisoner only because i wished to be one and with this he stepped forward and burst the stout chains as easily as if they had been threads,1.0,0.8076923076923077
1272-135031-0003,THE LITTLE GIRL HAD BEEN ASLEEP BUT SHE HEARD THE RAPS AND OPENED THE DOOR,"The little girl had been asleep, but she heard the wraps and opened the door.",the little girl had been asleep but she heard the wraps and opened the door ,1.0,0.8243243243243243
1272-135031-0004,THE KING HAS FLED IN DISGRACE AND YOUR FRIENDS ARE ASKING FOR YOU,The king has fled in disgrace and your friends are asking for you.,the king has fled in disgrace and your friends are asking for you ,1.0,0.8153846153846154
1272-135031-0005,I BEGGED RUGGEDO LONG AGO TO SEND HIM AWAY BUT HE WOULD NOT DO SO,"I begged Ruggedo long ago to send him away, but he would not do so.",i begged ruggedo long ago to send him away but he would not do so ,1.0,0.7846153846153846
1272-135031-0006,I ALSO OFFERED TO HELP YOUR BROTHER TO ESCAPE BUT HE WOULD NOT GO,"I also offered to help your brother to escape, but he would not go.",i also offered to help your brother to escape but he would not go ,1.0,0.8
1272-135031-0007,HE EATS AND SLEEPS VERY STEADILY REPLIED THE NEW KING,"He eats and sleeps very steadily, replied the new king.",he eats and sleeps very steadily replied the new king ,1.0,0.8301886792452831
1272-135031-0008,I HOPE HE DOESN'T WORK TOO HARD SAID SHAGGY,"I hope he doesn't work too hard, said Shaggy.",i hope he doesn t work too hard said shaggy ,1.1111111111111112,0.813953488372093
1272-135031-0009,HE DOESN'T WORK AT ALL,He doesn't work at all.,he doesn t work at all ,1.2,0.8181818181818182
1272-135031-0010,IN FACT THERE IS NOTHING HE CAN DO IN THESE DOMINIONS AS WELL AS OUR NOMES WHOSE NUMBERS ARE SO GREAT THAT IT WORRIES US TO KEEP THEM ALL BUSY,"In fact, there's nothing he can do in these dominions as well as our gnomes, whose numbers are so great that it worries us to keep them all busy.",in fact there s nothing he can do in these dominions as well as our gnomes whose numbers are so great that it worries us to keep them all busy ,1.0,0.8028169014084507
1272-135031-0011,NOT EXACTLY RETURNED KALIKO,"""'Not exactly,' returned Calico.'", not exactly returned calico ,1.0,0.8888888888888888
1272-135031-0012,WHERE IS MY BROTHER NOW,Where is my brother now?,where is my brother now ,1.0,0.8260869565217391
1272-135031-0013,INQUIRED SHAGGY IN THE METAL FOREST,inquired Shaggy in the metal forest.,inquired shaggy in the metal forest ,1.0,0.8571428571428571
1272-135031-0014,WHERE IS THAT,Where is that?,where is that ,1.0,0.8461538461538461
1272-135031-0015,THE METAL FOREST IS IN THE GREAT DOMED CAVERN THE LARGEST IN ALL OUR DOMINIONS REPLIED KALIKO,"The metal forest is in the great domed cavern, the largest in all our dominions, replied Calico.",the metal forest is in the great domed cavern the largest in all our dominions replied calico ,1.0,0.8279569892473119
1272-135031-0016,KALIKO HESITATED,Calico hesitated.,calico hesitated ,1.0,0.9375
1272-135031-0017,HOWEVER IF WE LOOK SHARP WE MAY BE ABLE TO DISCOVER ONE OF THESE SECRET WAYS,"However, if we look sharp, we may be able to discover one of these secret ways.",however if we look sharp we may be able to discover one of these secret ways ,1.0,0.8026315789473685
1272-135031-0018,OH NO I'M QUITE SURE HE DIDN'T,"Oh no, I'm quite sure he didn't.",oh no i m quite sure he didn t ,1.2857142857142858,0.8
1272-135031-0019,THAT'S FUNNY REMARKED BETSY THOUGHTFULLY,"""'That's funny,' remarked Betsy thoughtfully.", that s funny remarked betsy thoughtfully ,1.2,0.9
1272-135031-0020,I DON'T BELIEVE ANN KNEW ANY MAGIC OR SHE'D HAVE WORKED IT BEFORE,I don't believe Anne knew any magic or she'd have worked it before.,i don t believe anne knew any magic or she d have worked it before ,1.1538461538461537,0.8307692307692308
1272-135031-0021,I DO NOT KNOW CONFESSED SHAGGY,"I do not know, confess Shaggy.",i do not know confess shaggy ,1.0,0.8333333333333334
1272-135031-0022,TRUE AGREED KALIKO,"True, agreed Calico.",true agreed calico ,1.0,0.8888888888888888
1272-135031-0023,KALIKO WENT TO THE BIG GONG AND POUNDED ON IT JUST AS RUGGEDO USED TO DO BUT NO ONE ANSWERED THE SUMMONS,"Calico went to the big gong and pounded on it just as Brigadou used to do, but no one answered the summons.",calico went to the big gong and pounded on it just as brigadou used to do but no one answered the summons ,1.0,0.8076923076923077
1272-135031-0024,HAVING RETURNED TO THE ROYAL CAVERN KALIKO FIRST POUNDED THE GONG AND THEN SAT IN THE THRONE WEARING RUGGEDO'S DISCARDED RUBY CROWN AND HOLDING IN HIS HAND THE SCEPTRE WHICH RUGGEDO HAD SO OFTEN THROWN AT HIS HEAD,having returned to the royal cavern calico first pounded the gong and then sat in the throne wearing ruggedo's discarded ruby crown and holding in his hand the sceptre which regato had so often thrown at his head,having returned to the royal cavern calico first pounded the gong and then sat in the throne wearing ruggedo s discarded ruby crown and holding in his hand the sceptre which regato had so often thrown at his head,1.0263157894736843,0.8262910798122066
1272-141231-0000,A MAN SAID TO THE UNIVERSE SIR I EXIST,"A man said to the universe, Sir, I exist.",a man said to the universe sir i exist ,1.0,0.7894736842105263
1272-141231-0001,SWEAT COVERED BRION'S BODY TRICKLING INTO THE TIGHT LOINCLOTH THAT WAS THE ONLY GARMENT HE WORE,"Sweat covered Brian's body, trickling into the tight loin cloth that was the only garment he wore.",sweat covered brian s body trickling into the tight loin cloth that was the only garment he wore ,1.125,0.8526315789473684
1272-141231-0002,THE CUT ON HIS CHEST STILL DRIPPING BLOOD THE ACHE OF HIS OVERSTRAINED EYES EVEN THE SOARING ARENA AROUND HIM WITH THE THOUSANDS OF SPECTATORS WERE TRIVIALITIES NOT WORTH THINKING ABOUT,the cut on his chest still dripping blood the ache of his overstrained eyes even the soaring arena around him with thousands of spectators or trivialities not worth thinking about,the cut on his chest still dripping blood the ache of his overstrained eyes even the soaring arena around him with thousands of spectators or trivialities not worth thinking about,1.0,0.8432432432432433
1272-141231-0003,HIS INSTANT OF PANIC WAS FOLLOWED BY A SMALL SHARP BLOW HIGH ON HIS CHEST,His instant of panic was followed by a small sharp blow high on his chest.,his instant of panic was followed by a small sharp blow high on his chest ,1.0,0.8082191780821918
1272-141231-0004,ONE MINUTE A VOICE SAID AND THE TIME BUZZER SOUNDED,"One minute, a voice said, and the time buzzer sounded.",one minute a voice said and the time buzzer sounded ,1.0,0.8235294117647058
1272-141231-0005,A MINUTE IS NOT A VERY LARGE MEASURE OF TIME AND HIS BODY NEEDED EVERY FRACTION OF IT,"A minute is not a very large measure of time, and his body needed every fraction of it.",a minute is not a very large measure of time and his body needed every fraction of it ,1.0,0.8
1272-141231-0006,THE BUZZER'S WHIRR TRIGGERED HIS MUSCLES INTO COMPLETE RELAXATION,The buzzers were triggered his muscles into complete relaxation.,the buzzers were triggered his muscles into complete relaxation ,1.0,0.8769230769230769
1272-141231-0007,ONLY HIS HEART AND LUNGS WORKED ON AT A STRONG MEASURED RATE,Only his heart and lungs worked on at a strong measured rate.,only his heart and lungs worked on at a strong measured rate ,1.0,0.8166666666666667
1272-141231-0008,HE WAS IN REVERIE SLIDING ALONG THE BORDERS OF CONSCIOUSNESS,"He was in reverie, sliding along the borders of consciousness.",he was in reverie sliding along the borders of consciousness ,1.0,0.85
1272-141231-0009,THE CONTESTANTS IN THE TWENTIES NEEDED UNDISTURBED REST THEREFORE NIGHTS IN THE DORMITORIES WERE AS QUIET AS DEATH,"The contestants in the twenties needed undisturbed rest. Therefore, nights in the dormitories were as quiet as death.",the contestants in the twenties needed undisturbed rest therefore nights in the dormitories were as quiet as death ,1.0,0.8508771929824561
1272-141231-0010,PARTICULARLY SO ON THIS LAST NIGHT WHEN ONLY TWO OF THE LITTLE CUBICLES WERE OCCUPIED THE THOUSANDS OF OTHERS STANDING WITH DARK EMPTY DOORS,particularly so on this last night when only two of the little cubicles were occupied the thousands of others standing with dark empty doors,particularly so on this last night when only two of the little cubicles were occupied the thousands of others standing with dark empty doors,1.0,0.8357142857142857
1272-141231-0011,THE OTHER VOICE SNAPPED WITH A HARSH URGENCY CLEARLY USED TO COMMAND,"The other voice snapped with a harsh urgency, clearly used to command.",the other voice snapped with a harsh urgency clearly used to command ,1.0,0.8382352941176471
1272-141231-0012,I'M HERE BECAUSE THE MATTER IS OF UTMOST IMPORTANCE AND BRANDD IS THE ONE I MUST SEE NOW STAND ASIDE,"I'm here because the matter is of utmost importance, and Brand is the one I must see. Now stand aside!",i m here because the matter is of utmost importance and brand is the one i must see now stand aside ,1.05,0.81
1272-141231-0013,THE TWENTIES,The 20s,the 20s,1.0,0.9166666666666666
1272-141231-0014,HE MUST HAVE DRAWN HIS GUN BECAUSE THE INTRUDER SAID QUICKLY PUT THAT AWAY YOU'RE BEING A FOOL OUT,"He must have drawn his gun because the intruder said quickly, ""'Put that away, you're being a fool.' ""'Out!'",he must have drawn his gun because the intruder said quickly put that away you re being a fool out ,1.0526315789473684,0.8163265306122449
1272-141231-0015,THERE WAS SILENCE THEN AND STILL WONDERING BRION WAS ONCE MORE ASLEEP,"There was silence, then, and, still wondering, Brienne was once more asleep.",there was silence then and still wondering brienne was once more asleep ,1.0,0.8695652173913043
1272-141231-0016,TEN SECONDS,10 seconds.,10 seconds ,1.0,0.9090909090909091
1272-141231-0017,HE ASKED THE HANDLER WHO WAS KNEADING HIS ACHING MUSCLES,he asked the handler who is needing his aching muscles.,he asked the handler who is needing his aching muscles ,1.0,0.8392857142857143
1272-141231-0018,A RED HAIRED MOUNTAIN OF A MAN WITH AN APPARENTLY INEXHAUSTIBLE STORE OF ENERGY,A red-haired mountain of a man with an apparently inexhaustible store of energy.,a red haired mountain of a man with an apparently inexhaustible store of energy ,1.0,0.8354430379746836
1272-141231-0019,THERE COULD BE LITTLE ART IN THIS LAST AND FINAL ROUND OF FENCING,There could be little art in this last and final round of fencing.,there could be little art in this last and final round of fencing ,1.0,0.8153846153846154
1272-141231-0020,JUST THRUST AND PARRY AND VICTORY TO THE STRONGER,Just thrust and parry and victory to the stronger.,just thrust and parry and victory to the stronger ,1.0,0.8367346938775511
1272-141231-0021,EVERY MAN WHO ENTERED THE TWENTIES HAD HIS OWN TRAINING TRICKS,Every man who entered the twenties had his own training tricks.,every man who entered the twenties had his own training tricks ,1.0,0.8387096774193549
1272-141231-0022,THERE APPEARED TO BE AN IMMEDIATE ASSOCIATION WITH THE DEATH TRAUMA AS IF THE TWO WERE INEXTRICABLY LINKED INTO ONE,There appeared to be an immediate association with the death trauma as if the two were inextricably linked into one.,there appeared to be an immediate association with the death trauma as if the two were inextricably linked into one ,1.0,0.8347826086956521
1272-141231-0023,THE STRENGTH THAT ENABLES SOMEONE IN A TRANCE TO HOLD HIS BODY STIFF AND UNSUPPORTED EXCEPT AT TWO POINTS THE HEAD AND HEELS,"The strength that enables someone in a trance to hold his body stiff and unsupported except at two points, the head and heels.",the strength that enables someone in a trance to hold his body stiff and unsupported except at two points the head and heels ,1.0,0.8225806451612904
1272-141231-0024,THIS IS PHYSICALLY IMPOSSIBLE WHEN CONSCIOUS,This is physically impossible when conscious.,this is physically impossible when conscious ,1.0,0.8863636363636364
1272-141231-0025,OTHERS HAD DIED BEFORE DURING THE TWENTIES AND DEATH DURING THE LAST ROUND WAS IN SOME WAYS EASIER THAN DEFEAT,"Others had died before during the twenties, and death during the last round was, in some ways, easier than defeat.",others had died before during the twenties and death during the last round was in some ways easier than defeat ,1.0,0.8272727272727273
1272-141231-0026,BREATHING DEEPLY BRION SOFTLY SPOKE THE AUTO HYPNOTIC PHRASES THAT TRIGGERED THE PROCESS,"Breathing deeply, Brienne softly spoke the auto-hypnotic phrases that triggered the process.",breathing deeply brienne softly spoke the auto hypnotic phrases that triggered the process ,1.0,0.8863636363636364
1272-141231-0027,WHEN THE BUZZER SOUNDED HE PULLED HIS FOIL FROM HIS SECOND'S STARTLED GRASP AND RAN FORWARD,"When the buzzer sounded, he pulled his foil from his second startled grasp and ran forward.",when the buzzer sounded he pulled his foil from his second startled grasp and ran forward ,1.0,0.8351648351648352
1272-141231-0028,IROLG LOOKED AMAZED AT THE SUDDEN FURY OF THE ATTACK THEN SMILED,"Irold looked amazed at the sudden fury of the attack, then smiled.",irold looked amazed at the sudden fury of the attack then smiled ,1.0,0.828125
1272-141231-0029,HE THOUGHT IT WAS A LAST BURST OF ENERGY HE KNEW HOW CLOSE THEY BOTH WERE TO EXHAUSTION,He thought it was the last burst of energy. He knew how close they both were to exhaustion.,he thought it was the last burst of energy he knew how close they both were to exhaustion ,1.0,0.8275862068965517
1272-141231-0030,BRION SAW SOMETHING CLOSE TO PANIC ON HIS OPPONENT'S FACE WHEN THE MAN FINALLY RECOGNIZED HIS ERROR,Brian saw something close to panic on his opponent's face when the man finally recognized his error.,brian saw something close to panic on his opponent s face when the man finally recognized his error ,1.0588235294117647,0.8383838383838383
1272-141231-0031,A WAVE OF DESPAIR ROLLED OUT FROM IROLG BRION SENSED IT AND KNEW THE FIFTH POINT WAS HIS,A wave of despair rolled out from Irol Gryan sensed it and knew the fifth point was his.,a wave of despair rolled out from irol gryan sensed it and knew the fifth point was his ,1.0,0.8068181818181818
1272-141231-0032,THEN THE POWERFUL TWIST THAT THRUST IT ASIDE IN AND UNDER THE GUARD,"Then the powerful twist that thrusts that thrusts aside, in and under the guard,",then the powerful twist that thrusts that thrusts aside in and under the guard ,1.0769230769230769,0.9850746268656716
